CODREG;CODDEP;CODARR;CODCAN;COM;PMUN;PCAP;PTOT
84;01;02;08;L'Abergement-Clémenciat;779;19;798
84;01;01;01;L'Abergement-de-Varey;256;1;257
84;01;01;01;Ambérieu-en-Bugey;14134;380;14514
84;01;02;22;Ambérieux-en-Dombes;1751;25;1776
84;01;01;04;Ambléon;112;6;118
84;01;01;01;Ambronay;2800;115;2915
84;01;01;01;Ambutrix;762;15;777
84;01;01;04;Andert-et-Condon;326;9;335
84;01;01;10;Anglefort;1105;17;1122
84;01;04;14;Apremont;368;11;379
84;01;01;10;Aranc;329;4;333
84;01;01;01;Arandas;143;4;147
84;01;04;15;Arbent;3349;93;3442
84;01;01;04;Arboys en Bugey;650;17;667
84;01;02;17;Arbigny;460;9;469
84;01;01;01;Argis;457;16;473
84;01;01;10;Armix;27;4;31
84;01;02;22;Ars-sur-Formans;1457;28;1485
84;01;01;10;Artemare;1249;18;1267
84;01;02;17;Asnières-sur-Saône;76;0;76
84;01;02;02;Attignat;3251;65;3316
84;01;02;17;Bâgé-Dommartin;4065;106;4171
84;01;02;17;Bâgé-le-Châtel;973;68;1041
84;01;02;12;Balan;2563;52;2615
84;01;02;22;Baneins;617;17;634
84;01;02;18;Beaupont;685;8;693
84;01;02;21;Beauregard;829;15;844
84;01;04;14;Bellignat;3652;234;3886
84;01;02;12;Béligneux;3376;29;3405
84;01;04;03;Valserhône;16378;350;16728
84;01;01;04;Belley;9182;400;9582
84;01;04;14;Belleydoux;310;8;318
84;01;01;10;Valromey-sur-Séran;1326;19;1345
84;01;01;11;Bénonces;308;4;312
84;01;02;18;Bény;754;21;775
84;01;01;10;Béon;443;8;451
84;01;02;02;Béréziat;486;10;496
84;01;01;01;Bettant;748;21;769
84;01;02;23;Bey;291;14;305
84;01;02;13;Beynost;4754;113;4867
84;01;04;03;Billiat;632;16;648
84;01;02;22;Birieux;283;4;287
84;01;02;23;Biziat;895;8;903
84;01;01;11;Blyes;1182;32;1214
84;01;02;13;La Boisse;3283;73;3356
84;01;02;17;Boissey;365;4;369
84;01;04;16;Bolozon;91;1;92
84;01;02;22;Bouligneux;328;6;334
84;01;02;99;Bourg-en-Bresse;41111;1742;42853
84;01;01;12;Bourg-Saint-Christophe;1457;32;1489
84;01;04;16;Boyeux-Saint-Jérôme;349;5;354
84;01;02;17;Boz;519;16;535
84;01;01;04;Brégnier-Cordon;828;21;849
84;01;04;10;Brénod;493;21;514
84;01;01;04;Brens;1144;35;1179
84;01;02;12;Bressolles;934;22;956
84;01;04;14;Brion;533;7;540
84;01;01;11;Briord;1070;20;1090
84;01;02;02;Buellas;1812;64;1876
84;01;01;04;La Burbanche;89;1;90
84;01;04;16;Ceignes;255;13;268
84;01;04;16;Cerdon;775;15;790
84;01;02;07;Certines;1503;39;1542
84;01;03;09;Cessy;4808;117;4925
84;01;02;07;Ceyzériat;3194;62;3256
84;01;01;04;Ceyzérieu;1000;25;1025
84;01;02;07;Chalamont;2589;35;2624
84;01;02;22;Chaleins;1382;31;1413
84;01;01;10;Chaley;125;3;128
84;01;04;16;Challes-la-Montagne;196;3;199
84;01;03;20;Challex;1557;33;1590
84;01;01;10;Champagne-en-Valromey;811;31;842
84;01;01;10;Champdor-Corcelles;643;14;657
84;01;04;03;Champfromier;735;21;756
84;01;04;03;Chanay;628;14;642
84;01;02;22;Chaneins;927;17;944
84;01;02;23;Chanoz-Châtenay;895;18;913
84;01;02;08;La Chapelle-du-Châtelard;400;5;405
84;01;04;14;Charix;282;10;292
84;01;01;11;Charnoz-sur-Ain;903;27;930
84;01;01;01;Château-Gaillard;2253;50;2303
84;01;02;07;Châtenay;356;6;362
84;01;02;07;Châtillon-la-Palud;1604;58;1662
84;01;02;08;Châtillon-sur-Chalaronne;4931;203;5134
84;01;02;17;Chavannes-sur-Reyssouze;761;12;773
84;01;02;18;Nivigne et Suran;853;12;865
84;01;02;23;Chaveyriat;1034;30;1064
84;01;01;04;Chazey-Bons;1159;36;1195
84;01;01;11;Chazey-sur-Ain;1566;57;1623
84;01;01;04;Cheignieu-la-Balme;131;4;135
84;01;04;10;Chevillard;152;7;159
84;01;02;17;Chevroux;961;15;976
84;01;03;20;Chevry;2149;47;2196
84;01;03;20;Chézery-Forens;461;10;471
84;01;02;22;Civrieux;1829;53;1882
84;01;02;18;Cize;179;7;186
84;01;01;01;Cleyzieu;133;4;137
84;01;02;18;Coligny;1176;24;1200
84;01;03;20;Collonges;2226;46;2272
84;01;01;04;Colomieu;156;2;158
84;01;01;01;Conand;132;1;133
84;01;04;10;Condamine;450;12;462
84;01;02;08;Condeissiat;817;12;829
84;01;04;03;Confort;667;12;679
84;01;02;02;Confrançon;1333;30;1363
84;01;01;04;Contrevoz;498;12;510
84;01;01;04;Conzieu;151;2;153
84;01;01;10;Corbonod;1278;32;1310
84;01;01;10;Corlier;116;1;117
84;01;02;23;Cormoranche-sur-Saône;1162;35;1197
84;01;02;18;Cormoz;689;8;697
84;01;02;18;Corveissiat;612;13;625
84;01;02;18;Courmangoux;508;8;516
84;01;02;17;Courtes;305;1;306
84;01;02;07;Crans;291;6;297
84;01;02;02;Bresse Vallons;2363;44;2407
84;01;01;04;Cressin-Rochefort;394;6;400
84;01;02;23;Crottet;1758;45;1803
84;01;03;20;Crozet;2171;64;2235
84;01;02;23;Cruzilles-lès-Mépillat;893;20;913
84;01;01;10;Culoz;3004;64;3068
84;01;02;17;Curciat-Dongalon;444;5;449
84;01;02;02;Curtafond;767;19;786
84;01;01;04;Cuzieu;453;15;468
84;01;02;12;Dagneux;4777;57;4834
84;01;03;09;Divonne-les-Bains;9951;239;10190
84;01;02;07;Dompierre-sur-Veyle;1179;22;1201
84;01;02;08;Dompierre-sur-Chalaronne;436;3;439
84;01;02;18;Domsure;492;3;495
84;01;04;16;Dortan;1879;46;1925
84;01;01;01;Douvres;1076;28;1104
84;01;02;18;Drom;214;5;219
84;01;02;07;Druillat;1146;27;1173
84;01;04;14;Echallon;748;20;768
84;01;03;20;Echenevex;2115;74;2189
84;01;01;10;Evosges;143;4;147
84;01;01;12;Faramans;815;12;827
84;01;02;22;Fareins;2250;42;2292
84;01;03;20;Farges;1048;17;1065
84;01;02;17;Feillens;3365;71;3436
84;01;03;19;Ferney-Voltaire;10026;163;10189
84;01;01;04;Flaxieu;65;3;68
84;01;02;02;Foissiat;2038;35;2073
84;01;02;22;Francheleins;1594;33;1627
84;01;02;21;Frans;2423;61;2484
84;01;02;08;Garnerans;634;24;658
84;01;02;08;Genouilleux;641;22;663
84;01;04;14;Béard-Géovreissiat;1053;28;1081
84;01;04;14;Géovreisset;844;42;886
84;01;03;09;Gex;13121;270;13391
84;01;04;03;Giron;178;2;180
84;01;02;17;Gorrevod;784;23;807
84;01;02;18;Grand-Corent;183;6;189
84;01;02;23;Grièges;1881;52;1933
84;01;03;09;Grilly;839;21;860
84;01;04;14;Groissiat;1241;50;1291
84;01;02;08;Guéreins;1479;29;1508
84;01;02;18;Hautecourt-Romanèche;763;26;789
84;01;01;10;Plateau d'Hauteville;4844;176;5020
84;01;01;10;Haut Valromey;618;21;639
84;01;02;08;Illiat;663;20;683
84;01;04;03;Injoux-Génissiat;1115;26;1141
84;01;01;11;Innimond;87;3;90
84;01;04;10;Izenave;154;4;158
84;01;04;16;Izernore;2277;61;2338
84;01;01;04;Izieu;222;7;229
84;01;02;21;Jassans-Riottier;6346;93;6439
84;01;02;18;Jasseron;1783;54;1837
84;01;02;02;Jayat;1226;13;1239
84;01;02;07;Journans;351;13;364
84;01;01;12;Joyeux;268;3;271
84;01;04;16;Jujurieux;2137;46;2183
84;01;04;16;Labalme;214;5;219
84;01;01;11;Lagnieu;7161;147;7308
84;01;02;23;Laiz;1313;42;1355
84;01;04;14;Le Poizat-Lalleyriat;735;15;750
84;01;04;10;Lantenay;277;6;283
84;01;02;22;Lapeyrouse;317;12;329
84;01;01;04;Lavours;131;4;135
84;01;03;20;Léaz;778;16;794
84;01;03;20;Lélex;228;4;232
84;01;02;07;Lent;1395;35;1430
84;01;02;17;Lescheroux;718;9;727
84;01;01;11;Leyment;1341;29;1370
84;01;04;16;Leyssard;158;6;164
84;01;04;03;Surjoux-Lhopital;140;3;143
84;01;01;11;Lhuis;894;21;915
84;01;01;11;Lompnas;164;3;167
84;01;01;11;Loyettes;3225;31;3256
84;01;02;22;Lurcy;372;8;380
84;01;01;04;Magnieu;643;14;657
84;01;04;14;Maillat;660;14;674
84;01;02;02;Malafretaz;1235;24;1259
84;01;02;17;Mantenay-Montlin;312;7;319
84;01;02;17;Manziat;1948;48;1996
84;01;02;18;Marboz;2276;47;2323
84;01;01;11;Marchamp;130;3;133
84;01;01;04;Marignieu;169;3;172
84;01;02;08;Marlieux;1159;87;1246
84;01;02;02;Marsonnas;1011;29;1040
84;01;04;14;Martignat;1667;65;1732
84;01;02;21;Massieux;2670;56;2726
84;01;01;04;Massignieu-de-Rives;620;14;634
84;01;04;16;Matafelon-Granges;627;16;643
84;01;02;18;Meillonnas;1356;34;1390
84;01;04;16;Mérignat;135;2;137
84;01;02;22;Messimy-sur-Saône;1253;35;1288
84;01;01;12;Meximieux;7923;139;8062
84;01;02;18;Bohas-Meyriat-Rignat;943;21;964
84;01;02;23;Mézériat;2217;36;2253
84;01;03;20;Mijoux;312;14;326
84;01;02;22;Mionnay;2197;54;2251
84;01;02;13;Miribel;10122;151;10273
84;01;02;21;Misérieux;1974;252;2226
84;01;02;08;Mogneneins;786;22;808
84;01;02;07;Montagnat;2116;51;2167
84;01;01;11;Montagnieu;647;12;659
84;01;04;03;Montanges;351;10;361
84;01;02;08;Montceaux;1190;32;1222
84;01;02;02;Montcet;702;16;718
84;01;01;12;Le Montellier;302;5;307
84;01;02;22;Monthieux;668;23;691
84;01;02;12;Montluel;6886;83;6969
84;01;02;08;Montmerle-sur-Saône;3772;87;3859
84;01;02;02;Montracol;1016;20;1036
84;01;04;14;Montréal-la-Cluse;3456;71;3527
84;01;02;02;Montrevel-en-Bresse;2576;42;2618
84;01;04;16;Nurieux-Volognat;1025;23;1048
84;01;01;04;Murs-et-Gélignieux;246;3;249
84;01;04;14;Nantua;3454;135;3589
84;01;02;08;Neuville-les-Dames;1500;20;1520
84;01;04;16;Neuville-sur-Ain;1800;27;1827
84;01;04;14;Les Neyrolles;645;15;660
84;01;02;13;Neyron;2569;50;2619
84;01;02;13;Niévroz;1624;27;1651
84;01;01;01;Nivollet-Montgriffon;117;2;119
84;01;01;01;Oncieu;80;6;86
84;01;01;11;Ordonnaz;138;1;139
84;01;03;19;Ornex;4483;170;4653
84;01;04;10;Outriaz;258;6;264
84;01;04;15;Oyonnax;22456;479;22935
84;01;02;17;Ozan;694;13;707
84;01;02;21;Parcieux;1229;30;1259
84;01;01;04;Parves et Nattages;951;38;989
84;01;03;20;Péron;2717;55;2772
84;01;02;06;Péronnas;6520;291;6811
84;01;01;12;Pérouges;1273;32;1305
84;01;02;23;Perrex;842;7;849
84;01;04;16;Peyriat;148;4;152
84;01;01;04;Peyrieu;886;16;902
84;01;02;08;Peyzieux-sur-Saône;686;13;699
84;01;02;18;Pirajoux;420;8;428
84;01;02;12;Pizay;867;15;882
84;01;04;03;Plagne;150;2;152
84;01;02;07;Le Plantay;584;8;592
84;01;02;02;Polliat;2547;61;2608
84;01;01;04;Pollieu;163;5;168
84;01;04;16;Poncin;1699;36;1735
84;01;04;16;Pont-d'Ain;2924;53;2977
84;01;02;17;Pont-de-Vaux;2213;43;2256
84;01;02;23;Pont-de-Veyle;1641;64;1705
